runNumber,eventNumber,mcChannelNumber,eventWeight,nMSeg_ratio_BIBM_raw,track_scalar_sum_pt_barrel_raw,MS1Vtx_clusE_raw,MS1Vtx_avg_clusE_raw,MS1Vtx_rms_clusE_raw,MS1Vtx_maxclusE_raw,MS1Vtx_l1ecal_raw,MS1Vtx_l1hcal_raw,MS1Vtx_l2ecal_raw,MS1Vtx_l2hcal_raw,MS1Vtx_l3ecal_raw,MS1Vtx_l3hcal_raw,MS1Vtx_l4ecal_raw,MS1Vtx_l4hcal_raw,MS1Vtx_mindR_jetcut_raw,MS1Vtx_sumTrackPt0p2Cone_raw,htmiss_NOSYS,met_met_NOSYS,msegUnAssoc_nBIL,msegUnAssoc_nBML,msegUnAssoc_nBOL,msegUnAssoc_nEIL,msegUnAssoc_nEML,msegUnAssoc_nEOL,muSeg_nBIL,muSeg_nBML,muSeg_nBOL,muSeg_nEIL,muSeg_nEML,muSeg_nEOL,msvtx_nRPC_s
410000,8955,537838,1.4683197713249996e-10,0.1944444477558136,0.0,6.796544075012207,1.3593088388442993,1.5385524034500122,2.406747579574585,1.1569348573684692,0.0,1.1127891540527344,-0.007824210450053215,1.423346996307373,0.0,0.11639755964279175,0.0,2.6146059036254883,0.0,175062.640625,186621.828125,7,36,53,1,0,2,8,37,53,1,1,5,3314
410000,76540,537838,5.817017440651329e-12,0.5,21.01365089416504,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.064711093902588,0.0,74905.5703125,60275.83984375,4,8,25,9,1,4,4,9,26,9,1,4,2679
410000,22848,537838,1.5695870991816463e-10,0.5333333611488342,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.006584644317627,0.0,71902.5546875,78426.515625,8,15,19,5,2,4,13,17,22,5,2,4,2919
410000,8750,537838,3.4944686033711037e-12,0.3684210479259491,0.0,1.2556346654891968,1.2556346654891968,1.2556346654891968,1.2556346654891968,0.6349933743476868,0.0,0.2539970874786377,0.0,0.09300617128610611,0.0,-0.041000887751579285,0.0,0.94654381275177,0.0,192192.65625,230879.78125,7,19,18,6,1,2,8,19,19,14,1,2,2521
410000,110312,537838,1.7520304651519325e-10,0.1304347813129425,5.958721160888672,1.3793692588806152,1.3793692588806152,1.3793692588806152,1.3793692588806152,0.007000000681728125,0.0,0.23000185191631317,0.0,0.45300590991973877,0.0,-0.03899969533085823,0.0,1.970327615737915,0.0,32777.5390625,45511.828125,3,23,16,2,2,2,3,24,17,3,2,2,2586
410000,110328,537838,1.778458491585866e-10,0.29411765933036804,51.74452590942383,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9997711181640625,0.0,71332.3515625,65806.6328125,10,34,21,11,3,6,10,34,21,11,4,7,2570
410000,55219,537838,1.3934862985731655e-10,0.03333333507180214,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.605276584625244,0.0,255492.4375,256923.59375,1,30,41,6,1,2,1,33,44,10,2,3,1317
410000,6483,537838,6.555322396017971e-10,0.1818181872367859,0.0,8.132956504821777,1.6265913248062134,1.7861475944519043,2.517503499984741,0.964961051940918,0.0,1.4824470281600952,0.8014978766441345,0.9524949789047241,0.597804069519043,0.09657072275876999,-0.018263576552271843,2.1370046138763428,0.0,54210.1484375,47637.77734375,4,22,22,9,3,3,4,25,23,12,4,4,1533
410000,80752,537838,3.498463185813705e-10,0.17241379618644714,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.286581039428711,0.0,63656.62890625,49028.12109375,5,29,27,6,1,1,5,31,29,7,2,2,2908
410000,5176,537838,1.5842722966841194e-10,0.095238097012043,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3077653646469116,0.0,187736.953125,183045.359375,2,21,23,7,3,3,3,22,25,7,4,4,2740
