runNumber,eventNumber,mcChannelNumber,eventWeight,MSTracklet_endcap_avg_dR_raw,MSTracklet_endcap_rms_dR_raw,MSeg_endcap_avg_dR_raw,MSeg_endcap_rms_dR_raw,MS1Vtx_endcap_hits_ntot_raw,MSVtx_MET_dphi_raw,MS1Vtx_avg_clustime_raw,MS1Vtx_rms_clustime_raw,MS1Vtx_maxclustime_raw,MS1Vtx_nTracklet_raw,htmiss_NOSYS,met_met_NOSYS,msegUnAssoc_nBIL,msegUnAssoc_nBML,msegUnAssoc_nBOL,msegUnAssoc_nEIL,msegUnAssoc_nEML,msegUnAssoc_nEOL,muSeg_nBIL,muSeg_nBML,muSeg_nBOL,muSeg_nEIL,muSeg_nEML,muSeg_nEOL,msvtx_nTGC_s
483370,504329839,0,1.0,0.0,0.0,0.3966972231864929,0.48823124170303345,2006.0,0.21673697233200073,1.2742903232574463,3.542752265930176,11.290834426879883,4.0,21079.17578125,45389.52734375,3,3,2,16,42,40,3,3,4,23,48,49,948
483370,461546701,0,1.0,0.0,0.0,0.4426392912864685,0.4936111569404602,2241.0,2.2280654907226562,0.0,0.0,-1.0,3.0,21077.353515625,23782.751953125,4,3,2,8,33,34,4,3,2,8,33,34,1128
483370,3088798600,0,1.0,0.0,0.0,0.34511736035346985,0.4045136868953705,2153.0,0.1748816967010498,1.5170260667800903,3.5297207832336426,7.785562038421631,3.0,39467.98046875,33231.6328125,5,2,2,5,46,41,5,2,2,7,46,42,1159
483370,3087848531,0,1.0,0.0,0.0,0.3490923047065735,0.42676782608032227,1951.0,0.07859933376312256,3.4356131553649902,4.888727188110352,10.006999969482422,4.0,31494.560546875,33552.89453125,2,2,2,17,36,37,2,2,2,20,37,38,1013
483370,2999525460,0,1.0,0.0,0.0,0.3285885155200958,0.39296385645866394,2123.0,0.11824512481689453,0.33293870091438293,4.835812091827393,8.983957290649414,4.0,21847.2265625,42557.2265625,3,2,5,7,34,35,3,2,5,10,38,39,1044
483370,2941660836,0,1.0,0.0,0.0,0.3774951696395874,0.46333077549934387,1773.0,0.48829054832458496,1.0229346752166748,2.381779909133911,6.198662281036377,3.0,32094.7109375,31871.171875,4,7,3,7,47,31,4,7,3,8,48,32,934
483370,2515646371,0,1.0,0.0,0.0,0.3067510724067688,0.3827040493488312,2147.0,1.0692412853240967,-0.24836595356464386,2.295933246612549,3.694762945175171,4.0,31733.90625,21523.236328125,6,4,9,7,43,38,6,4,9,15,44,44,994
483370,2286757156,0,1.0,0.0,0.0,0.35319462418556213,0.4192887544631958,1991.0,0.7077528238296509,0.0,0.0,-1.0,3.0,21098.1640625,28035.84375,7,6,1,18,34,34,7,6,1,23,37,37,910
483370,2309797071,0,1.0,0.0,0.0,0.37079548835754395,0.43426021933555603,2351.0,0.8504233956336975,0.0,0.0,-1.0,3.0,29550.5,31666.111328125,1,0,0,11,44,35,1,0,0,12,46,37,1260
483370,2543508705,0,1.0,0.0,0.0,0.3580690324306488,0.43049851059913635,1956.0,0.15044093132019043,1.7356475591659546,4.659152984619141,16.168737411499023,3.0,25596.775390625,34007.5234375,3,4,2,11,36,45,3,4,2,14,41,53,1065
