runNumber,eventNumber,mcChannelNumber,eventWeight,MSTracklet_barrel_avg_dR_raw,MSTracklet_barrel_rms_dR_raw,MSeg_barrel_avg_dR_raw,MSeg_barrel_rms_dR_raw,MS1Vtx_barrel_hits_ntot_raw,MSVtx_MET_dphi_raw,MS1Vtx_avg_clustime_raw,MS1Vtx_rms_clustime_raw,MS1Vtx_maxclustime_raw,MS1Vtx_nTracklet_raw,htmiss_NOSYS,met_met_NOSYS,msegUnAssoc_nBIL,msegUnAssoc_nBML,msegUnAssoc_nBOL,msegUnAssoc_nEIL,msegUnAssoc_nEML,msegUnAssoc_nEOL,muSeg_nBIL,muSeg_nBML,muSeg_nBOL,muSeg_nEIL,muSeg_nEML,muSeg_nEOL,msvtx_nRPC_s
486224,1394465138,0,1.0,0.0,0.0,0.09194173663854599,0.13191048800945282,1814.0,0.4801158607006073,2.5713143348693848,4.776316165924072,11.280877113342285,3.0,20398.697265625,36167.9453125,3,25,21,6,17,12,3,27,23,6,17,12,1030
483725,1367365091,0,1.0,0.0,0.0,0.2541910409927368,0.33931827545166016,1985.0,0.20403385162353516,-0.7891505360603333,8.157648086547852,8.10827350616455,3.0,23910.98828125,42167.36328125,26,21,18,13,18,15,26,22,19,17,21,18,1050
483725,1379395501,0,1.0,0.0,0.0,0.20011183619499207,0.28977420926094055,1459.0,2.197209596633911,0.0,0.0,-1.0,3.0,14346.6845703125,22431.6875,13,12,16,12,16,12,16,15,17,14,18,14,860
483440,2459323860,0,1.0,0.0,0.0,0.14090755581855774,0.17077669501304626,1435.0,0.42083078622817993,-0.4154382050037384,0.5795536041259766,0.0,3.0,20313.205078125,28985.580078125,1,22,16,6,12,9,1,24,18,7,13,12,803
483440,2656026868,0,1.0,0.0,0.0,0.15978947281837463,0.20528583228588104,1581.0,0.386249303817749,-2.3277814388275146,4.280878067016602,2.540109157562256,3.0,38137.11328125,39639.7578125,14,22,27,5,13,14,16,23,28,5,13,15,922
483440,2731735303,0,1.0,0.0,0.0,0.29677391052246094,0.37855327129364014,1620.0,0.5929933190345764,4.136771202087402,6.813870429992676,17.352169036865234,3.0,28409.751953125,51050.375,6,9,17,7,8,18,7,9,18,9,9,19,942
483440,1449762654,0,1.0,0.0,0.0,0.25860217213630676,0.29788580536842346,2207.0,0.23705744743347168,-1.1880125999450684,3.9378933906555176,3.854919195175171,5.0,24134.265625,20146.45703125,11,6,22,11,14,20,12,8,25,13,15,22,1314
483440,2935645664,0,1.0,0.0,0.0,0.19041229784488678,0.2598092257976532,1689.0,0.2674213647842407,1.8279772996902466,3.272966146469116,7.126195430755615,3.0,39193.6484375,42500.30859375,11,24,20,9,12,16,12,27,21,10,13,17,852
486376,715190051,0,1.0,0.0,0.0,0.14756831526756287,0.23716950416564941,2125.0,0.046561479568481445,0.0,0.0,-1.0,3.0,22595.419921875,25056.96875,13,22,16,13,16,17,13,23,18,13,16,17,1056
484258,601477010,0,1.0,0.0,0.0,0.2360168844461441,0.3247514069080353,2297.0,2.72367525100708,4.184262275695801,6.1691508293151855,11.731977462768555,3.0,39625.78515625,20886.798828125,31,23,18,4,12,15,33,26,20,5,14,16,1115
486131,1671881168,0,1.0,0.0,0.0,0.196676105260849,0.27919310331344604,1767.0,0.0951836109161377,0.0,0.0,-1.0,3.0,13184.576171875,67089.421875,8,15,17,8,18,18,10,17,18,8,18,18,836
486131,2148862862,0,1.0,0.0,0.0,0.2107197344303131,0.2808600068092346,1873.0,0.32816851139068604,1.5181745290756226,4.888144016265869,12.057897567749023,4.0,33818.0234375,35767.26171875,11,10,23,8,13,13,16,15,26,8,14,15,1071
486131,4380721987,0,1.0,0.0,0.0,0.2928318679332733,0.39116567373275757,2321.0,0.3494908809661865,0.0,0.0,-1.0,3.0,0.0,49000.95703125,9,24,20,7,7,7,10,24,21,7,8,9,1150
