runNumber,eventNumber,mcChannelNumber,eventWeight,MSTracklet_barrel_avg_dR_raw,MSTracklet_barrel_rms_dR_raw,MSeg_barrel_avg_dR_raw,MSeg_barrel_rms_dR_raw,MS1Vtx_barrel_hits_ntot_raw,MSVtx_MET_dphi_raw,MS1Vtx_avg_clustime_raw,MS1Vtx_rms_clustime_raw,MS1Vtx_maxclustime_raw,MS1Vtx_nTracklet_raw,htmiss_NOSYS,met_met_NOSYS,msegUnAssoc_nBIL,msegUnAssoc_nBML,msegUnAssoc_nBOL,msegUnAssoc_nEIL,msegUnAssoc_nEML,msegUnAssoc_nEOL,muSeg_nBIL,muSeg_nBML,muSeg_nBOL,muSeg_nEIL,muSeg_nEML,muSeg_nEOL,msvtx_nRPC_s,scoreNN1b,scoreNN2b
410000,129396,537839,0.0,0.0,0.0,0.23570605,0.28992304,4118.0,0.09585595,-1.0753887,4.8135247,4.0394273,6.0,144569.22,140050.72,7,31,29,6,2,3,7,34,31,6,2,4,3128,0.08553576364038307,0.9434628771919663
410000,95375,537839,3.2299864e-11,0.0,0.0,0.39365673,0.45160222,5025.0,0.012939811,0.39875612,4.2150655,6.7628975,5.0,200332.12,198849.83,21,29,26,14,5,8,21,30,27,14,5,8,3715,0.4331120822427952,0.953424682709591
410000,3233,537839,1.2704529e-10,0.0,0.0,0.3087572,0.36654118,4739.0,0.20297313,0.44231674,0.44231674,0.44231674,4.0,144145.72,161947.14,11,16,20,6,0,1,12,18,21,6,0,1,3275,0.5139536066600809,0.9197489553684934
410000,74066,537839,1.3482074e-10,0.0,0.0,0.14735422,0.18859316,1770.0,0.38352394,2.501,2.501,2.501,3.0,188084.27,200673.72,1,15,22,1,0,0,1,15,22,1,0,0,1347,0.7274316125647765,0.18617491220720783
410000,86889,537839,1.2242839e-10,0.0,0.0,0.3355481,0.35661948,5373.0,0.1144768,-0.9100974,2.930074,1.6171544,3.0,208240.6,225886.83,3,14,36,2,1,1,7,18,40,2,1,1,4021,0.041408466098498575,0.8870435098753676
410000,110898,537839,1.07573235e-10,0.0,0.0,0.17860043,0.25517008,2376.0,0.035040975,0.49772844,3.0046859,7.84,10.0,252114.77,205066.31,2,21,25,3,1,0,2,27,31,3,1,1,1781,0.0035127180932404967,0.9517772771670087
410000,135101,537839,5.3350113e-10,0.951748,0.951748,0.33209163,0.4114383,4542.0,0.3394509,1.4581625,5.476471,14.679664,5.0,187905.64,182036.44,3,6,22,18,3,7,3,8,22,19,3,8,3116,0.11772671539749213,0.9048940411097804
410000,135127,537839,2.5980834e-10,0.0,0.0,0.22155783,0.27228904,3456.0,0.06308794,0.0,0.0,-1.0,8.0,348415.16,359861.53,4,27,44,4,0,2,5,28,45,4,0,2,2373,0.5641758931340513,0.9597021899670418
410000,42102,537839,0.0,0.0,0.0,0.25500223,0.29406244,1994.0,0.7238207,2.6462336,2.6462336,2.6462336,5.0,61988.395,68287.02,12,19,18,2,0,0,13,19,20,2,0,0,1336,0.5424269330697247,0.6570549696926409
410000,86625,537839,1.6325516e-10,0.0,0.0,0.2574408,0.29254192,4333.0,0.45615625,0.0,0.0,-1.0,3.0,82294.31,81766.75,8,35,24,10,0,1,8,35,24,10,0,1,3210,0.5839496175567,0.8501990586409301
