runNumber,eventNumber,mcChannelNumber,eventWeight,nMSeg_ratio_BIBM_raw,track_scalar_sum_pt_barrel_raw,MS1Vtx_clusE_raw,MS1Vtx_avg_clusE_raw,MS1Vtx_rms_clusE_raw,MS1Vtx_maxclusE_raw,MS1Vtx_l1ecal_raw,MS1Vtx_l1hcal_raw,MS1Vtx_l2ecal_raw,MS1Vtx_l2hcal_raw,MS1Vtx_l3ecal_raw,MS1Vtx_l3hcal_raw,MS1Vtx_l4ecal_raw,MS1Vtx_l4hcal_raw,MS1Vtx_mindR_jetcut_raw,MS1Vtx_sumTrackPt0p2Cone_raw,htmiss_NOSYS,met_met_NOSYS,msegUnAssoc_nBIL,msegUnAssoc_nBML,msegUnAssoc_nBOL,msegUnAssoc_nEIL,msegUnAssoc_nEML,msegUnAssoc_nEOL,muSeg_nBIL,muSeg_nBML,muSeg_nBOL,muSeg_nEIL,muSeg_nEML,muSeg_nEOL,msvtx_nRPC_s,scoreNN1b,scoreNN2b
410000,132066,537839,6.743076e-11,0.15789473,34.898937,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4511385,0.0,287796.03,263547.38,3,19,22,3,1,3,3,19,22,3,1,4,3096,0.6079945449301503,0.9495176498959554
410000,105022,537839,6.072491e-14,0.23529412,66.810165,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.900763,0.0,172028.86,159753.81,4,17,34,11,6,5,5,18,35,11,6,5,4046,0.6749052772934008,0.904656734691297
410000,79627,537839,3.9304363e-10,0.2857143,0.0,3.3287792,1.6643896,2.3056667,3.2599792,-0.31113142,0.0,0.501607,-0.01392605,1.7760612,0.0,0.15598497,0.0,2.8245685,0.0,95071.14,102745.12,4,14,25,17,1,1,4,15,28,19,2,2,1999,0.5505000006375164,0.8952674384972783
410000,129332,537839,6.2496164e-14,0.5294118,156.97728,2.2228768,2.2228768,2.2228768,2.2228768,0.42000547,0.0,0.59599966,0.0,0.3160079,0.0,0.0,0.0,1.3359996,0.0,181641.38,192373.17,9,17,23,11,3,6,19,18,26,11,3,6,2183,0.7653223726340229,0.9260908593071713
410000,129396,537839,0.0,0.22580644,0.0,41.85345,3.4877872,4.3972173,7.985748,1.7470495,0.0,6.251847,2.7021258,15.917883,0.7999336,0.86299783,-0.13815083,2.2702897,0.0,144569.22,140050.72,7,31,29,6,2,3,7,34,31,6,2,4,3128,0.08553576364038307,0.9434628771919663
410000,95375,537839,3.2299864e-11,0.7241379,0.0,6.7996607,1.699915,2.0652416,3.6163065,0.84057504,0.0,0.77632517,1.5779436,0.56531507,0.048115022,0.117527395,0.0,3.4741292,0.0,200332.12,198849.83,21,29,26,14,5,8,21,30,27,14,5,8,3715,0.4331120822427952,0.953424682709591
410000,3233,537839,1.2704529e-10,0.6875,0.0,2.399982,2.399982,2.399982,2.399982,0.081525125,0.0,0.1915758,0.0,1.2686293,0.0,0.057391897,0.0,3.2346199,0.0,144145.72,161947.14,11,16,20,6,0,1,12,18,21,6,0,1,3275,0.5139536066600809,0.9197489553684934
410000,74066,537839,1.3482074e-10,0.06666667,0.0,0.719175,0.719175,0.719175,0.719175,0.47106472,0.0,0.21505815,0.0,-0.13967939,0.0,0.0,0.0,3.4068882,0.0,188084.27,200673.72,1,15,22,1,0,0,1,15,22,1,0,0,1347,0.7274316125647765,0.18617491220720783
410000,86889,537839,1.2242839e-10,0.21428572,11.899181,30.309994,6.061999,8.155383,12.818567,0.42077985,0.0,5.805267,0.8144914,8.840211,8.049984,0.19201818,-0.012553324,1.3678709,0.0,208240.6,225886.83,3,14,36,2,1,1,7,18,40,2,1,1,4021,0.041408466098498575,0.8870435098753676
410000,110898,537839,1.07573235e-10,0.0952381,38.548615,77.6013,7.054664,10.398487,27.000584,2.5849893,0.0,14.775005,7.851864,20.757978,8.215939,0.97599846,0.47266722,2.828578,0.0,252114.77,205066.31,2,21,25,3,1,0,2,27,31,3,1,1,1781,0.0035127180932404967,0.9517772771670087
