runNumber,eventNumber,mcChannelNumber,eventWeight,MSTracklet_endcap_avg_dR_raw,MSTracklet_endcap_rms_dR_raw,MSeg_endcap_avg_dR_raw,MSeg_endcap_rms_dR_raw,MS1Vtx_endcap_hits_ntot_raw,MSVtx_MET_dphi_raw,MS1Vtx_avg_clustime_raw,MS1Vtx_rms_clustime_raw,MS1Vtx_maxclustime_raw,MS1Vtx_nTracklet_raw,htmiss_NOSYS,met_met_NOSYS,msegUnAssoc_nBIL,msegUnAssoc_nBML,msegUnAssoc_nBOL,msegUnAssoc_nEIL,msegUnAssoc_nEML,msegUnAssoc_nEOL,muSeg_nBIL,muSeg_nBML,muSeg_nBOL,muSeg_nEIL,muSeg_nEML,muSeg_nEOL,msvtx_nTGC_s
410000,134178,537838,5.939486315970077e-12,0.0,0.0,0.4867820739746094,0.5307395458221436,3448.0,0.1697080135345459,0.0,0.0,-1.0,5.0,33686.98046875,41976.11328125,3,6,2,5,29,36,3,6,2,5,29,36,1760
410000,134237,537838,5.750402324450343e-12,0.3856011927127838,0.3856011927127838,0.41533195972442627,0.5024086236953735,2893.0,0.6886729001998901,0.1726519763469696,1.8821234703063965,3.514816999435425,3.0,80202.25,93166.5625,1,1,1,17,30,39,1,1,1,19,36,43,1226
410000,136034,537838,7.564958994519047e-14,0.0,0.0,0.4534285366535187,0.5114873051643372,2091.0,0.4056723117828369,0.0,0.0,-1.0,8.0,40059.9609375,50312.6953125,2,5,0,7,15,41,2,5,0,8,16,41,950
410000,51764,537838,1.874888855279977e-10,0.635574221611023,0.635574221611023,0.41132447123527527,0.483316570520401,2561.0,0.4949535131454468,0.0,0.0,-1.0,12.0,163346.640625,164599.9375,0,1,2,3,36,33,0,1,2,5,37,33,1196
410000,24709,537838,1.7808132746210958e-10,0.7707460522651672,0.7707460522651672,0.45643627643585205,0.5322657823562622,2729.0,0.8780841827392578,0.0,0.0,-1.0,10.0,55878.5390625,53261.03515625,0,1,0,4,29,42,0,1,0,5,29,44,1577
410000,24752,537838,8.17416828668982e-11,0.0,0.0,0.4539322555065155,0.49574461579322815,2232.0,0.011957049369812012,0.16233330965042114,2.5718255043029785,3.5889999866485596,4.0,392488.90625,394987.21875,1,1,0,6,37,31,1,1,0,7,40,34,1206
410000,143429,537838,1.6126140700567504e-10,0.9641833305358887,0.9641833305358887,0.4110708236694336,0.46924981474876404,1668.0,2.3970329761505127,0.0,0.0,-1.0,5.0,61220.12890625,51838.05859375,0,1,0,3,21,35,0,1,0,3,21,35,934
410000,113978,537838,1.6238360656117834e-10,0.0,0.0,0.36991339921951294,0.47109365463256836,1816.0,1.3555392026901245,0.0,0.0,-1.0,8.0,35443.80859375,43868.7890625,0,0,3,4,44,35,0,0,3,4,50,39,1115
410000,114861,537838,1.5083737037180356e-10,0.0,0.0,0.5500347018241882,0.5954153537750244,3681.0,0.24435901641845703,0.0,0.0,-1.0,11.0,126112.9375,163222.046875,2,1,0,6,20,37,2,1,0,6,21,38,1689
410000,114885,537838,1.7484176606519242e-10,0.3650047183036804,0.3650047183036804,0.4197257459163666,0.48295915126800537,2193.0,0.6552961468696594,0.11289166659116745,1.1756075620651245,0.996999979019165,12.0,30605.94921875,30162.529296875,1,1,2,11,29,39,1,1,2,12,30,40,992
410000,114964,537838,1.7897157367219307e-10,0.0,0.0,0.49151623249053955,0.5247511863708496,3519.0,0.017434269189834595,0.0,0.0,-1.0,5.0,100691.2734375,106376.0859375,3,3,4,6,10,33,3,3,4,8,10,34,1791
410000,126798,537838,0.0,1.0297399759292603,1.0297399759292603,0.49492332339286804,0.5469238758087158,4630.0,0.4122486114501953,-0.45349976420402527,0.45349976420402527,-0.45349976420402527,5.0,90945.0703125,115778.1953125,2,5,3,9,15,45,4,6,4,11,17,45,2328
410000,118904,537838,2.1086889179233737e-10,0.7240840196609497,0.7259207963943481,0.4235471189022064,0.45956048369407654,2533.0,0.3746376037597656,0.0,0.0,-1.0,13.0,70769.1484375,64138.32421875,0,0,1,2,12,33,0,0,1,2,13,36,1118
410000,119017,537838,1.663535975637842e-10,0.29826581478118896,0.2988617718219757,0.4198712706565857,0.48102325201034546,2262.0,1.9797877073287964,-0.22319073975086212,0.3768469989299774,0.06599999964237213,8.0,33442.046875,26908.73828125,0,0,0,3,11,41,0,0,0,3,11,41,961
410000,74771,537838,5.566410665736043e-10,1.0031695365905762,1.0031695365905762,0.49822500348091125,0.5447600483894348,4229.0,0.25835394859313965,0.0,0.0,-1.0,5.0,156736.9375,156485.65625,2,6,1,10,12,37,2,6,1,12,15,37,2136
410000,77641,537838,1.6515812328865564e-10,0.0,0.0,0.401187539100647,0.4617420434951782,2925.0,0.22806739807128906,-0.19499999284744263,0.19499999284744263,-0.19499999284744263,10.0,93679.2578125,98943.0390625,1,0,0,15,36,37,1,0,0,18,36,37,1651
410000,77634,537838,1.6155768389758407e-10,0.0,0.0,0.4777716398239136,0.5215413570404053,2318.0,1.860207200050354,0.0,0.0,-1.0,12.0,25549.720703125,24372.173828125,1,0,2,8,39,34,1,0,2,8,45,38,1099
410000,77712,537838,1.7411794228650024e-10,0.0,0.0,0.37711137533187866,0.43418261408805847,3119.0,0.060799211263656616,-1.8127501010894775,2.57443904876709,0.0,7.0,153142.578125,167425.109375,0,2,1,5,20,34,0,2,1,6,20,36,1488
410000,36554,537838,0.0,0.20820073783397675,0.20820073783397675,0.35276418924331665,0.40307021141052246,2356.0,0.5614224672317505,0.0,0.0,-1.0,6.0,89472.6015625,118144.3515625,0,0,1,10,35,33,0,0,1,10,35,33,1384
410000,127369,537838,7.229651854392602e-14,0.320478230714798,0.35690903663635254,0.46235764026641846,0.5061975717544556,4859.0,0.3695363998413086,0.0,0.0,-1.0,10.0,119351.65625,122250.0234375,0,0,3,16,32,54,0,0,3,16,33,56,2594
410000,125085,537838,1.9021903496785342e-10,0.8978996872901917,0.8978996872901917,0.3908122777938843,0.43566274642944336,2091.0,1.3765370845794678,-1.4633013010025024,4.117964267730713,2.1887824535369873,7.0,32901.703125,29617.36328125,1,3,0,8,9,35,1,3,0,9,10,42,1217
