runNumber,eventNumber,mcChannelNumber,eventWeight,nMSeg_ratio_BIBM_raw,track_scalar_sum_pt_barrel_raw,MS1Vtx_clusE_raw,MS1Vtx_avg_clusE_raw,MS1Vtx_rms_clusE_raw,MS1Vtx_maxclusE_raw,MS1Vtx_l1ecal_raw,MS1Vtx_l1hcal_raw,MS1Vtx_l2ecal_raw,MS1Vtx_l2hcal_raw,MS1Vtx_l3ecal_raw,MS1Vtx_l3hcal_raw,MS1Vtx_l4ecal_raw,MS1Vtx_l4hcal_raw,MS1Vtx_mindR_jetcut_raw,MS1Vtx_sumTrackPt0p2Cone_raw,htmiss_NOSYS,met_met_NOSYS,msegUnAssoc_nBIL,msegUnAssoc_nBML,msegUnAssoc_nBOL,msegUnAssoc_nEIL,msegUnAssoc_nEML,msegUnAssoc_nEOL,muSeg_nBIL,muSeg_nBML,muSeg_nBOL,muSeg_nEIL,muSeg_nEML,muSeg_nEOL,msvtx_nRPC_s
481603,1258941380,0,1.0,1.1666666269302368,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9174981117248535,0.0,25792.578125,37139.26171875,21,18,19,9,12,12,28,19,23,11,12,13,1159
481603,264123749,0,1.0,1.0,9.291423797607422,47.03586196899414,7.839310169219971,9.390992164611816,15.11707592010498,3.9560298919677734,0.0,9.691789627075195,2.395368814468384,14.737198829650879,0.20489566028118134,0.30293628573417664,0.0715465322136879,2.209329605102539,0.0,35699.7421875,47521.01953125,7,7,25,9,14,18,7,8,26,12,14,18,1393
476760,3030301653,0,1.0,1.3333333730697632,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99999.0,0.0,21443.83203125,21297.5859375,4,3,21,4,8,6,4,4,22,4,8,6,1257
479913,3163730885,0,1.0,0.8421052694320679,0.0,17.7786922454834,1.6162447929382324,1.9985153675079346,3.8462977409362793,1.4273924827575684,0.0,4.7134013175964355,-0.029370173811912537,4.319945335388184,-0.02315256930887699,0.1603488326072693,0.17716771364212036,3.311415195465088,1.338310956954956,38723.0703125,34043.484375,16,19,19,6,8,15,19,22,20,6,8,15,922
486689,658948596,0,1.0,0.1818181872367859,8.355779647827148,34.28994369506836,8.57248592376709,11.135767936706543,19.523609161376953,0.4835141897201538,0.0,1.75154709815979,10.914636611938477,7.070621013641357,4.459153175354004,0.1724434196949005,-0.021349061280488968,2.896104574203491,0.0,30155.40625,30097.646484375,4,22,17,4,13,15,9,26,19,4,13,18,953
486253,660463851,0,1.0,1.7000000476837158,5.085270881652832,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3841164112091064,0.0,20031.8828125,72631.46875,17,10,16,13,18,16,23,18,19,18,19,16,857
486253,743703472,0,1.0,0.6000000238418579,0.0,14.584763526916504,1.620529294013977,1.840035080909729,3.729335308074951,0.351315438747406,0.0,2.8883204460144043,0.0,5.1608452796936035,0.0,-0.013791588135063648,0.0,3.773603916168213,0.0,28964.533203125,25378.58984375,12,20,20,10,10,22,15,21,23,11,12,24,968
482819,1490696265,0,1.0,0.7222222089767456,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7915433645248413,0.0,14267.3203125,31371.87890625,13,18,16,17,14,15,16,21,16,18,15,17,891
482819,2469498391,0,1.0,0.9090909361839294,9.865984916687012,18.289567947387695,4.572391986846924,6.231619834899902,11.812965393066406,0.5771983861923218,0.0,3.670546293258667,0.37298306822776794,8.445001602172852,-0.06346224248409271,0.22672654688358307,0.0,3.1310460567474365,0.5823045372962952,35678.140625,36608.328125,10,11,21,10,6,18,10,11,21,13,6,19,1159
479269,1334341499,0,1.0,0.25925925374031067,0.0,22.767454147338867,1.8972878456115723,2.828500270843506,7.663844585418701,0.34625720977783203,0.0,1.7999904155731201,2.7485804557800293,5.708613872528076,2.8399441242218018,0.2543603479862213,-0.03313533961772919,1.521712064743042,0.0,17683.470703125,38805.81640625,7,27,18,20,13,24,10,29,21,21,14,25,978
