runNumber,eventNumber,mcChannelNumber,eventWeight,nMSeg_ratio_BIBM_raw,track_scalar_sum_pt_barrel_raw,MS1Vtx_clusE_raw,MS1Vtx_avg_clusE_raw,MS1Vtx_rms_clusE_raw,MS1Vtx_maxclusE_raw,MS1Vtx_l1ecal_raw,MS1Vtx_l1hcal_raw,MS1Vtx_l2ecal_raw,MS1Vtx_l2hcal_raw,MS1Vtx_l3ecal_raw,MS1Vtx_l3hcal_raw,MS1Vtx_l4ecal_raw,MS1Vtx_l4hcal_raw,MS1Vtx_mindR_jetcut_raw,MS1Vtx_sumTrackPt0p2Cone_raw,htmiss_NOSYS,met_met_NOSYS,msegUnAssoc_nBIL,msegUnAssoc_nBML,msegUnAssoc_nBOL,msegUnAssoc_nEIL,msegUnAssoc_nEML,msegUnAssoc_nEOL,muSeg_nBIL,muSeg_nBML,muSeg_nBOL,muSeg_nEIL,muSeg_nEML,muSeg_nEOL,msvtx_nRPC_s,scoreNN1b,scoreNN2b,MSTracklet_barrel_avg_dR_raw,MSTracklet_barrel_rms_dR_raw,MSeg_barrel_avg_dR_raw,MSeg_barrel_rms_dR_raw,MS1Vtx_barrel_hits_ntot_raw,MSVtx_MET_dphi_raw,MS1Vtx_avg_clustime_raw,MS1Vtx_rms_clustime_raw,MS1Vtx_maxclustime_raw,MS1Vtx_nTracklet_raw,region,nMSeg_ratio_EIEM_raw,track_scalar_sum_pt_endcap_raw,msvtx_nTGC_s,scoreNN1e,scoreNN2e,MSTracklet_endcap_avg_dR_raw,MSTracklet_endcap_rms_dR_raw,MSeg_endcap_avg_dR_raw,MSeg_endcap_rms_dR_raw,MS1Vtx_endcap_hits_ntot_raw
410000,62809,537838,5.700027e-12,0.16666667,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0793872,0.0,92634.35,88284.05,3,18,19,10,3,3,3,21,22,13,4,3,1828.0,0.5266987158432777,0.5645215388900152,0.0,0.0,0.30000487,0.42429373,2348.0,0.11849174,0.0,0.0,-1.0,3.0,barrel,,,,,,,,,,
410000,79029,537838,5.529467e-10,0.13333334,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.023349,0.0,132948.27,134710.2,2,15,18,10,0,2,2,15,18,10,0,2,2462.0,0.5846544997509185,0.9174769266094815,0.0,0.0,0.36330098,0.47708103,3498.0,0.0116586685,0.0,0.0,-1.0,4.0,barrel,,,,,,,,,,
410000,62556,537838,4.0639408e-14,0.22727273,49.421124,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6427224,0.0,276072.72,278218.1,5,22,25,11,1,8,5,24,27,11,2,10,2161.0,0.6384520467163801,0.884476410719057,1.0374216,1.0374216,0.35591888,0.46027702,3539.0,0.43102694,0.0,0.0,-1.0,4.0,barrel,,,,,,,,,,
410000,64288,537838,8.4379654e-14,0.14285715,7.652081,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4713423,0.0,91304.06,96467.85,4,28,27,15,1,0,4,31,30,15,1,0,2544.0,0.5642556609680354,0.9061059509931728,0.0,0.0,0.28904527,0.35998857,3448.0,0.17350945,0.0,0.0,-1.0,4.0,barrel,,,,,,,,,,
410000,78528,537838,0.0,0.078947365,8.412132,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3483422,0.0,51882.22,56209.082,3,38,18,3,1,3,5,38,18,3,1,3,2446.0,0.56006134835042,0.90438466535892,0.0,0.0,0.3237741,0.3968307,3361.0,0.1188941,0.0,0.0,-1.0,4.0,barrel,,,,,,,,,,
410000,4623,537838,1.6445471e-10,0.2,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1211706,0.0,96740.02,99718.3,5,25,25,3,3,3,5,25,25,3,3,3,3140.0,0.4705778856627862,0.9614683761189564,0.0,0.0,0.23703894,0.31009063,4393.0,0.062879086,0.0,0.0,-1.0,7.0,barrel,,,,,,,,,,
410000,78108,537838,0.0,0.44,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.443461,0.0,75810.64,76093.18,11,25,20,4,1,2,13,28,23,4,1,2,2391.0,0.5492863072890339,0.8997307379361746,0.0,0.0,0.24330921,0.28287545,3170.0,0.8656917,0.0,0.0,-1.0,6.0,barrel,,,,,,,,,,
410000,33117,537838,1.7812297e-10,0.33333334,7.631481,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9251225,0.0,67971.98,71931.24,5,15,33,9,1,2,5,15,33,9,1,2,1537.0,0.5895293367966585,0.420154091303648,0.0,0.0,0.2512843,0.31582358,2049.0,0.29861045,0.0,0.0,-1.0,3.0,barrel,,,,,,,,,,
410000,33204,537838,1.4395377e-10,0.16666667,31.329836,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5954648,0.0,105332.85,142725.08,3,18,25,3,1,3,3,19,26,3,1,3,2315.0,0.5513967368940684,0.7605234887688388,0.0,0.0,0.20673518,0.26672864,3007.0,0.19614482,0.0,0.0,-1.0,3.0,barrel,,,,,,,,,,
410000,33530,537838,1.5541088e-10,0.05,0.0,14.282063,1.5868958,2.1283736,5.375429,0.79898626,0.0,4.082991,0.7918387,3.6169772,-0.01650304,-0.088000745,0.0,3.12858,0.0,69521.25,73760.055,1,20,18,8,3,3,1,22,20,8,3,4,2704.0,0.3797372386089844,0.9482398752587236,0.0,0.0,0.27263013,0.32597736,3524.0,0.5323005,0.22583278,3.3585014,5.846,9.0,barrel,,,,,,,,,,
