runNumber,eventNumber,mcChannelNumber,eventWeight,MSTracklet_barrel_avg_dR_raw,MSTracklet_barrel_rms_dR_raw,MSeg_barrel_avg_dR_raw,MSeg_barrel_rms_dR_raw,MS1Vtx_barrel_hits_ntot_raw,MSVtx_MET_dphi_raw,MS1Vtx_avg_clustime_raw,MS1Vtx_rms_clustime_raw,MS1Vtx_maxclustime_raw,MS1Vtx_nTracklet_raw,htmiss_NOSYS,met_met_NOSYS,msegUnAssoc_nBIL,msegUnAssoc_nBML,msegUnAssoc_nBOL,msegUnAssoc_nEIL,msegUnAssoc_nEML,msegUnAssoc_nEOL,muSeg_nBIL,muSeg_nBML,muSeg_nBOL,muSeg_nEIL,muSeg_nEML,muSeg_nEOL,msvtx_nRPC_s,scoreNN1b,scoreNN2b
475369,2788119544,0,1.0,0.0,0.0,0.22878121,0.29639062,1672.0,0.5917428,-0.24102296,1.7113563,1.7009821,3.0,27529.719,29778.006,3,25,17,5,7,9,5,27,18,5,7,9,967,0.010320563032582886,0.18914453274215326
475369,486750355,0,1.0,0.0,0.0,0.15690789,0.22199848,1850.0,2.053483,-2.832233,4.717111,0.116474986,3.0,26232.547,25274.871,15,22,20,12,17,16,15,24,21,12,17,16,847,0.09712694189407622,0.1381060467496339
477037,1645643877,0,1.0,0.0,0.0,0.19771135,0.3073262,2098.0,0.69173807,2.6271596,5.195867,11.543161,3.0,8467.421,30377.037,10,20,24,5,8,11,14,21,26,5,9,12,997,0.0035653143215738092,0.22524071123915235
477037,930163982,0,1.0,0.0,0.0,0.30833256,0.36185133,2524.0,1.9486281,0.0,0.0,-1.0,7.0,26852.273,20604.21,9,19,23,12,13,14,9,21,23,13,14,14,1422,0.5629072008086173,0.8875904340141205
477037,4109408574,0,1.0,0.0,0.0,0.23502764,0.28344202,1916.0,0.0181396,0.0,0.0,-1.0,5.0,29448.766,32008.012,4,4,18,3,4,10,8,5,18,3,5,11,890,0.6230293824646834,0.7208996641820232
475234,1845276016,0,1.0,0.0,0.0,0.27353418,0.3525853,2459.0,0.29467905,3.5601273,5.6653166,11.188512,3.0,26213.086,62417.656,15,19,16,24,11,11,16,19,16,26,11,11,1082,0.15351680557417624,0.3984640856467333
482400,1398494181,0,1.0,0.0,0.0,0.20405854,0.27950925,2740.0,1.7033918,-1.204225,4.3311386,3.2608647,3.0,24510.467,24038.1,12,25,26,14,9,6,16,25,28,14,10,7,1515,0.2141663575661905,0.37391009196261493
484780,469201060,0,1.0,0.0,0.0,0.16670404,0.21126802,1892.0,1.0665346,0.0,0.0,-1.0,4.0,20283.34,27002.201,15,20,19,11,14,8,16,21,21,11,14,8,1041,0.0,0.5532881268391454
482084,1497886373,0,1.0,0.0,0.0,0.23045772,0.3171511,1609.0,0.03860295,2.5088577,4.6593785,10.843305,3.0,20907.078,39167.254,11,24,17,16,12,10,15,27,20,18,12,10,885,0.20950197013717575,0.10892547799748431
474533,850358958,0,1.0,0.0,0.0,0.23255342,0.3450591,2120.0,0.9087643,-2.2749307,4.8817124,2.157298,3.0,27963.045,47287.53,12,25,17,13,12,20,13,25,18,13,12,20,1144,0.18076283376271363,0.2942845094398303
