runNumber,eventNumber,mcChannelNumber,eventWeight,nMSeg_ratio_BIBM_raw,track_scalar_sum_pt_barrel_raw,MS1Vtx_clusE_raw,MS1Vtx_avg_clusE_raw,MS1Vtx_rms_clusE_raw,MS1Vtx_maxclusE_raw,MS1Vtx_l1ecal_raw,MS1Vtx_l1hcal_raw,MS1Vtx_l2ecal_raw,MS1Vtx_l2hcal_raw,MS1Vtx_l3ecal_raw,MS1Vtx_l3hcal_raw,MS1Vtx_l4ecal_raw,MS1Vtx_l4hcal_raw,MS1Vtx_mindR_jetcut_raw,MS1Vtx_sumTrackPt0p2Cone_raw,htmiss_NOSYS,met_met_NOSYS,msegUnAssoc_nBIL,msegUnAssoc_nBML,msegUnAssoc_nBOL,msegUnAssoc_nEIL,msegUnAssoc_nEML,msegUnAssoc_nEOL,muSeg_nBIL,muSeg_nBML,muSeg_nBOL,muSeg_nEIL,muSeg_nEML,muSeg_nEOL,msvtx_nRPC_s,scoreNN1b,scoreNN2b
486026,1148862401,0,1.0,1.2666667,0.0,10.391184,1.731864,2.1430924,4.472021,-0.012325729,0.0,0.31401563,-0.10861394,3.9214447,0.0,0.5814248,0.0,2.8527522,2.5218596,37432.45,37155.59,19,15,17,15,18,12,21,16,18,15,19,13,1068,0.03578615805485841,0.2319629580757061
486026,1277993013,0,1.0,0.9375,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5880618,0.0,22464.346,30164.121,15,16,16,10,20,22,15,20,16,10,20,22,941,0.5213861401354136,0.30533426510557216
484220,389043716,0,1.0,0.36666667,0.0,24.154697,2.0128915,2.4947762,5.3403826,0.9481522,0.0,5.4532995,0.76197314,5.891069,0.020120792,0.15069284,0.0,1.9862443,0.0,18374.37,26642.879,11,30,21,14,10,10,14,31,23,16,12,10,1474,0.2316164223624959,0.7595097727248521
476301,561810340,0,1.0,0.71428573,0.0,23.261541,1.6615387,2.0570998,4.482799,1.3707275,0.0,4.9489975,0.31289816,3.6747742,2.564657,0.3875365,0.31958795,99999.0,0.0,6433.6406,43356.703,20,28,19,19,12,15,20,29,20,22,14,17,856,0.0,0.41364366802489017
483409,2154680763,0,1.0,0.71428573,9.718382,46.229424,3.8524516,5.5868826,14.370065,1.7911018,0.0,5.102069,3.259244,9.837345,4.6757054,1.3564829,1.5041672,1.5420202,3.365256,36841.08,25334.94,10,14,17,9,14,12,12,16,20,10,15,15,913,0.0003529969822032575,0.6272319918272162
483409,3764839466,0,1.0,0.5714286,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99999.0,0.0,0.0,21046.324,8,14,20,7,8,14,10,16,20,7,8,14,906,0.0,0.17494502722296368
483409,3441208592,0,1.0,0.09677419,24.632254,29.150856,2.6500778,3.4446123,7.305788,1.405719,0.0,6.918731,4.1129527,4.55692,0.13787222,0.39689353,0.0,1.7354946,0.0,20691.29,33459.918,3,31,22,5,10,13,3,31,22,6,10,13,1096,0.2624412124431422,0.2860470784904692
483409,4309892362,0,1.0,0.5882353,0.0,6.565097,3.2825484,3.282707,3.3148117,0.0818566,0.0,0.4296675,0.9113891,1.1925848,1.0700705,0.082224116,0.15202203,3.4834611,0.0,23942.893,28551.52,10,17,17,5,4,3,13,17,20,5,4,3,1381,0.3898941519089917,0.2824252948504259
483409,3592349020,0,1.0,0.42857143,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6246834,0.0,22984.645,39616.477,6,14,17,5,17,15,7,15,18,7,19,15,918,0.5007356762022807,0.2562141391447933
476875,3234833221,0,1.0,0.9,0.0,29.801043,2.4834201,2.9471238,6.6135087,2.2125058,0.0,7.082918,1.5434859,6.29234,2.0577965,0.0847256,0.0085578915,0.9488205,2.0883133,27697.213,24057.88,9,10,18,6,8,16,12,10,18,8,8,16,1328,0.013029415140187961,0.1856404082436579
476875,2023891547,0,1.0,0.33333334,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.172349,0.0,25722.033,27077.35,8,24,21,15,15,17,9,26,22,17,15,17,1174,0.5916157190872758,0.5465555414224974
476875,3249543877,0,1.0,0.30769232,7.2637253,2.5873103,2.5873103,2.5873103,2.5873103,0.0,0.0,0.049389966,-0.0127977235,1.0446596,0.0,0.09908616,0.0,2.0855825,0.0,28611.086,45583.76,4,13,16,9,16,11,5,16,19,11,16,13,849,0.5140152260844157,0.220611379144254
476875,3704995647,0,1.0,0.25,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0878139,0.0,28211.334,29674.81,5,20,17,8,4,4,6,21,17,8,4,5,1503,0.5864160650845445,0.8338884963701562
484191,805501868,0,1.0,1.3125,0.0,48.098717,6.0123396,10.125437,26.62449,1.7340813,0.0,5.102824,1.3026258,5.0855713,21.358334,0.1428373,0.40913662,3.2289538,2.578551,37429.508,30448.855,21,16,16,16,22,27,23,17,18,16,23,28,1026,5.133061673634476e-05,0.17343461334865018
484191,1077710545,0,1.0,0.33333334,6.130603,6.4659505,1.6164876,1.8642298,2.7813401,0.23809198,0.0,0.9327335,0.003228916,2.336842,0.0,0.22758523,0.0,3.073687,3.097165,33180.48,24420.18,3,9,17,14,11,14,5,10,19,14,13,16,1273,0.02087736607625057,0.32658486610308934
479374,3266682189,0,1.0,0.25,11.537071,3.5019608,1.1673203,1.1925693,1.486346,-0.1095206,0.0,0.44526345,0.0,1.5546622,0.0,-0.030112617,0.0,1.7662773,0.0,35820.223,48356.055,8,32,18,19,19,16,8,34,19,22,20,19,1784,0.5218810005622039,0.38556436271235783
479374,2877844914,0,1.0,0.8181818,0.0,23.990343,2.3990343,3.066388,6.722379,1.4767092,0.0,2.9417799,2.466192,4.509961,2.4398427,0.012927939,0.9471803,2.895037,0.0,32268.31,38932.26,9,11,16,18,21,25,16,13,18,20,21,25,1056,0.17084244271839866,0.14311249516167002
482129,2622538783,0,1.0,0.09375,9.366552,37.02028,3.7020278,4.65575,9.671286,0.40946877,0.0,1.9751289,6.245775,8.203697,3.8746533,0.7037166,-0.037875183,2.5555146,2.7538886,32223.03,32275.164,3,32,18,13,8,16,3,32,18,14,9,18,1566,0.0012220928831806477,0.777014854972662
483725,1779795073,0,1.0,0.64285713,14.721058,36.376575,2.4251049,3.4955606,10.947189,4.1082273,0.0,5.6227555,0.8716334,11.331736,-0.18390745,-0.03240663,0.0,2.6902258,0.0,34852.0,26571.023,9,14,16,15,18,14,10,14,18,16,18,14,1354,0.3077822872251156,0.5132330153100395
480741,2853474223,0,1.0,1.0,7.016129,31.986536,3.1986535,5.4033933,15.748661,0.8256352,0.0,6.254008,0.6808901,6.5902877,5.143578,0.037221827,0.8465871,1.213991,0.0,16620.6,40709.086,9,9,22,12,8,12,11,9,24,13,10,16,1188,0.1252344746215882,0.19313823140795872
480741,904029285,0,1.0,0.39130434,0.0,14.036997,2.8073993,3.7555315,7.133895,0.41043597,0.0,1.2995298,1.8343644,3.3553736,0.03213413,0.3263523,0.0,99999.0,0.0,0.0,20322.684,9,23,17,14,22,27,18,25,18,19,22,27,874,0.0,0.21271899957508666
473400,247218989,0,1.0,1.5,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1092615,0.0,25583.678,34188.523,12,8,18,12,23,9,15,12,20,13,23,9,992,0.5798757593178547,0.3028026579273573
474926,974672415,0,1.0,1.1,32.458836,42.868095,3.8970993,5.4246564,14.273571,3.952607,0.0,6.7357492,1.557087,12.249234,0.094371594,0.7843119,0.0,2.7785935,0.0,23179.088,51210.18,11,10,17,12,20,13,13,11,17,14,21,14,1065,0.09965238653655051,0.7614140088922162
475052,1956194636,0,1.0,0.5714286,0.0,36.901207,4.100134,8.034516,23.576017,1.2113776,0.0,7.512429,1.7032776,12.5169325,0.018328248,1.5840645,0.0,5.7747912,0.0,32609.121,49980.41,8,14,19,13,13,15,8,15,20,17,14,15,1513,0.038951216959605794,0.6672862815879169
475052,2204822903,0,1.0,1.5,0.0,30.09927,5.016545,5.6821666,9.553588,0.67952234,0.0,3.19961,2.014402,6.016761,-0.04475642,3.4477427,0.0,99999.0,0.0,39824.54,26032.057,12,8,19,7,16,9,14,9,22,11,18,14,1849,0.0,0.5828681193819601
484426,887487056,0,1.0,1.375,0.0,91.19568,7.5996404,12.265525,30.247902,4.611689,0.0,15.750925,4.066319,21.7591,16.891901,0.464428,0.28630394,3.916274,0.0,0.0,44270.37,11,8,21,5,9,8,18,11,23,5,9,8,1078,0.0002945678754360248,0.1715388576596406
473235,2025022687,0,1.0,0.1,58.758575,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88317144,0.0,27185.062,23014.395,2,20,19,4,4,4,2,21,20,4,5,5,1543,0.5530395890970463,0.4549601346762884
483685,519900440,0,1.0,0.16666667,12.58853,39.451427,3.2876186,5.6950345,18.495413,4.0869217,0.0,5.2974677,3.127043,14.521674,0.32967052,0.25574374,-0.030578872,3.1218116,0.0,36568.098,34968.973,2,12,16,18,15,15,3,15,19,20,18,18,934,0.2380683112731976,0.17331232875934988
480957,3843434970,0,1.0,0.93333334,0.0,19.304058,2.7577226,3.1164405,5.1298246,0.40346324,0.0,3.7224407,0.29321906,5.9703703,1.5042863,0.038347512,0.5826255,3.3704436,0.0,30050.938,34500.027,14,15,19,10,8,9,18,16,21,12,8,9,806,0.12061713377889671,0.33611146825230853
480957,3504725348,0,1.0,0.2,11.021614,23.324446,3.3320637,5.1971774,11.027732,0.47043988,0.0,1.0230882,4.8005195,3.087837,1.8203684,0.55665165,0.79845387,1.7086985,0.0,24133.629,29412.012,5,25,19,12,20,18,5,27,21,12,20,18,1321,0.2114563205591501,0.8437384123674926
480957,1761216859,0,1.0,2.25,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.691683,0.0,36392.266,34699.164,18,8,19,13,26,22,21,9,21,14,26,22,1309,0.6988689283501257,0.6233527279615948
480957,1998668509,0,1.0,0.071428575,5.869886,1.9906882,0.9953441,1.0066655,1.1458943,0.38462836,0.0,0.43911353,0.0,0.3767594,0.0,0.0,0.0,0.8868602,0.0,30596.113,23795.334,1,14,17,10,14,19,2,16,18,13,17,22,843,0.4900343822851241,0.2580693187423908
480957,2510473185,0,1.0,0.95238096,8.765866,58.840847,8.405835,11.887566,22.640795,1.5953968,0.0,9.305986,4.690265,21.152975,5.5480366,0.8609596,2.858065,1.2546417,0.0,36046.383,31078.033,20,21,19,10,14,12,26,25,22,17,15,15,914,0.0026392590517968495,0.40859813823786817
481318,1437127148,0,1.0,0.3529412,0.0,3.2837293,1.0945765,1.2311957,1.8829815,-0.021272536,0.0,1.4756169,0.0,0.3403998,0.0,0.0037557792,0.0,3.441331,3.8754165,33944.855,43990.0,6,17,21,7,11,20,15,22,26,8,13,20,1519,0.01825015018338516,0.7813797982436727
481318,561850773,0,1.0,0.64705884,0.0,28.018288,2.547117,5.8699994,19.227701,1.1662083,0.0,1.9879642,2.5012794,1.5975584,10.061693,0.6369471,1.4001391,1.6596181,1.0850779,21663.36,26789.424,11,17,18,7,6,7,11,18,19,7,6,7,1323,0.07181874767691165,0.1303384271909247
481318,3134436912,0,1.0,0.59090906,0.0,16.147488,2.306784,2.995207,5.4782166,1.9141918,0.0,5.3106937,0.04726968,3.980526,0.0,0.01243344,0.0,3.2849932,0.0,35928.043,68249.164,13,22,17,13,12,15,14,22,18,16,14,16,815,0.23852718423313557,0.18177643607525973
481318,3483534080,0,1.0,0.25,0.0,28.002203,3.5002754,4.4894004,9.763851,1.7304722,0.0,5.683002,1.0564038,7.298887,0.54628605,2.60756,0.69008845,2.87621,3.952885,11137.873,32852.14,4,16,17,11,15,13,4,17,18,11,15,13,1277,0.0002570204326788339,0.4809807101741387
481207,2891763761,0,1.0,0.47619048,9.022704,22.188862,3.6981437,4.359203,8.031463,0.20194666,0.0,2.698672,1.7440988,5.393616,0.13827933,0.91774714,0.0071336217,1.3413004,0.0,23426.258,21255.264,10,21,19,18,28,8,12,22,19,19,29,9,994,0.16737556053238178,0.7628480676119882
475474,3425901269,0,1.0,1.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9476838,0.0,33952.71,43183.57,13,13,16,3,5,4,14,15,18,3,5,4,900,0.5951070816504929,0.5104414806421924
482819,1490696265,0,1.0,0.7222222,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7915434,0.0,14267.32,31371.879,13,18,16,17,14,15,16,21,16,18,15,17,891,0.5211529012503209,0.19415908548885263
482819,2469498391,0,1.0,0.90909094,9.865985,18.289568,4.572392,6.23162,11.812965,0.5771984,0.0,3.6705463,0.37298307,8.445002,-0.06346224,0.22672655,0.0,3.131046,0.58230454,35678.14,36608.33,10,11,21,10,6,18,10,11,21,13,6,19,1159,0.06466641913813653,0.3842909324531196
475522,1541085443,0,1.0,0.3846154,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6627561,0.0,30211.143,32180.87,5,13,20,10,11,14,8,15,21,10,11,14,914,0.5019512990066191,0.09902555301843441
475522,2352852013,0,1.0,0.42857143,0.0,17.71811,3.5436218,3.8836873,5.1604466,0.84516454,0.0,5.300722,-0.0016025571,5.606718,0.0,0.23575641,0.0,2.5947986,0.0,23809.705,52301.305,9,21,18,11,13,15,9,22,19,12,16,19,959,0.17966987886948294,0.7761497445093622
484909,1705031970,0,1.0,0.45454547,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2074933,0.0,32641.424,21571.562,10,22,17,11,16,15,10,24,19,13,17,16,824,0.5944730362023607,0.25815395053089196
484909,1471859900,0,1.0,0.2857143,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9534192,0.0,27769.465,30340.709,4,14,17,7,12,11,6,14,17,9,15,13,1049,0.5179674249035936,0.30470602677243763
484909,3540951063,0,1.0,0.4375,7.1948314,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1704125,0.0,37560.895,50860.504,7,16,18,12,13,10,11,17,20,14,15,11,812,0.6043775952136854,0.46617937393900044
484597,3841736817,0,1.0,0.42857143,6.46465,30.107624,3.3452916,4.240391,8.066101,1.0045254,0.0,4.022748,2.6297767,6.9568624,-0.31663713,0.38598114,0.0,2.773406,2.0273361,23284.953,34401.363,9,21,19,5,9,11,10,21,20,5,10,12,1104,0.005203557348090193,0.4484807248963262
484597,3135458220,0,1.0,0.23076923,0.0,16.646523,2.0808153,2.311728,4.136807,0.43998572,0.0,3.0200768,1.6903014,2.8738158,0.9432008,0.2602901,-0.057925925,5.5642037,0.0,34119.656,35657.13,6,26,28,9,13,12,6,27,29,11,14,13,910,0.1984715384454594,0.3529647864359603
484597,4266190117,0,1.0,0.5,0.0,37.103813,4.122646,4.724185,9.446595,2.93955,0.0,7.04393,0.053256012,10.296731,0.0,0.46262452,0.0,4.0555096,0.0,0.0,46891.137,7,14,17,8,13,9,7,14,17,8,13,9,1150,0.04478363089609927,0.4333883631515033
473747,1025501384,0,1.0,0.55,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.926825,3.6866417,17817.137,30572.451,11,20,18,9,17,17,14,22,21,11,17,18,1008,0.0372802211712725,0.6200479353220053
481749,3696751407,0,1.0,0.09090909,0.0,11.121884,5.5609426,7.4061613,10.45248,-0.0944659,0.0,0.5058129,2.2825415,0.23273021,0.7671492,0.7475582,0.44314873,2.6537728,0.0,39301.348,37139.75,1,11,18,6,8,6,1,13,20,6,8,6,830,0.3929206489147563,0.34881379826743786
481749,2831901905,0,1.0,0.7619048,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.266295,0.0,33381.844,44343.895,16,21,22,14,16,22,22,23,24,14,17,23,1419,0.5480849784028026,0.6653295218140836
475192,1976560273,0,1.0,0.08,5.644119,1.2268077,0.61340386,0.623367,0.72440904,0.74455017,0.0,0.34208608,0.0,-0.09236589,0.0,0.0,0.0,2.44172,0.0,24776.799,26483.941,2,25,21,14,8,18,3,27,24,15,9,19,1062,0.7008776061251083,0.41101335946294626
475192,2589888945,0,1.0,0.3,0.0,21.213923,2.1213923,2.5025942,5.194522,1.0039394,0.0,3.3796067,0.30670673,5.2019253,1.7951779,0.5099493,1.2132809,3.183145,2.2532575,29634.865,30142.588,3,10,19,13,18,14,3,11,20,14,18,14,864,0.011449993045801077,0.3696503009054829
482819,1915989051,0,1.0,0.85714287,0.0,33.52355,3.0475953,4.0104175,9.944296,0.8897511,0.0,3.3848844,2.328101,10.764857,0.9066486,0.85180014,1.3979346,1.953587,0.0,18435.494,27560.74,12,14,29,16,19,19,15,14,29,16,19,19,1025,0.11384855680562533,0.16060219134478937
483440,1449762654,0,1.0,1.8333334,9.925669,38.686108,3.516919,5.033963,12.556394,1.8763915,0.0,4.8636827,0.0,16.797033,0.0,0.15306939,0.0,3.2506998,3.8329334,24134.266,20146.457,11,6,22,11,14,20,12,8,25,13,15,22,1314,0.00034293226613513195,0.7077481005577426
