runNumber,eventNumber,mcChannelNumber,eventWeight,MSTracklet_endcap_avg_dR_raw,MSTracklet_endcap_rms_dR_raw,MSeg_endcap_avg_dR_raw,MSeg_endcap_rms_dR_raw,MS1Vtx_endcap_hits_ntot_raw,MSVtx_MET_dphi_raw,MS1Vtx_avg_clustime_raw,MS1Vtx_rms_clustime_raw,MS1Vtx_maxclustime_raw,MS1Vtx_nTracklet_raw,htmiss_NOSYS,met_met_NOSYS,msegUnAssoc_nBIL,msegUnAssoc_nBML,msegUnAssoc_nBOL,msegUnAssoc_nEIL,msegUnAssoc_nEML,msegUnAssoc_nEOL,muSeg_nBIL,muSeg_nBML,muSeg_nBOL,muSeg_nEIL,muSeg_nEML,muSeg_nEOL,msvtx_nTGC_s,scoreNN1e,scoreNN2e
483398,1857943313,0,1.0,0.8199597,0.8199597,0.2990489,0.37839335,2116.0,0.4902801,-0.26481545,0.26481545,-0.26481545,5.0,10987.058,60112.918,6,0,1,9,47,43,6,0,1,13,51,46,1139,0.8358472833027619,0.2844758546842604
483398,1864143850,0,1.0,0.0,0.0,0.32785162,0.3991113,1942.0,1.9584138,2.5748622,3.0281749,4.761674,3.0,29772.688,39039.785,11,2,3,5,43,43,11,2,3,7,45,46,1076,0.6185796416578886,0.03128576430600938
483398,2138614755,0,1.0,0.0,0.0,0.3954173,0.45160654,2035.0,2.2759545,0.0,0.0,-1.0,3.0,21523.078,25614.31,6,1,2,3,43,37,6,1,2,6,48,39,1066,0.957334119520683,0.051207734086278656
483398,134499232,0,1.0,0.0,0.0,0.32657242,0.41120568,1995.0,0.91607594,-0.4442432,3.254251,2.675946,3.0,24727.94,96099.84,5,3,3,7,40,38,5,3,3,8,48,43,996,0.9999990271466362,0.04666930117769008
483398,1736568276,0,1.0,0.0,0.0,0.3390256,0.39420477,2354.0,0.36336166,0.0,0.0,-1.0,3.0,0.0,56708.574,7,6,1,10,45,36,7,6,1,17,47,39,1122,0.6898059192940762,0.08194055122390842
483398,1067284377,0,1.0,0.0,0.0,0.37295064,0.4353084,1864.0,0.070984125,0.0,0.0,-1.0,4.0,38033.38,46729.79,6,5,5,6,37,38,6,5,5,9,41,43,976,0.34802655766372936,0.07128224126722726
483398,2252573935,0,1.0,0.0,0.0,0.35715207,0.4247232,2184.0,2.5384579,1.2470945,1.2470945,1.2470945,3.0,32268.752,44115.324,8,1,4,13,58,38,8,1,4,14,59,38,1200,0.8019324929865979,0.043240067139753924
483398,352020559,0,1.0,0.0,0.0,0.48048794,0.5353448,1637.0,1.0706521,1.2503293,3.160827,6.0039682,3.0,39553.984,43712.766,8,2,4,13,36,37,8,2,4,21,47,39,927,0.9981636062708991,0.031349180488168815
483398,2337500998,0,1.0,0.0,0.0,0.42295387,0.48018312,2230.0,1.5799389,-3.087601,5.2657557,0.6933661,3.0,36439.707,30233.863,6,3,1,5,42,40,6,3,1,12,46,45,1090,0.9861592711016376,0.08985666418153426
483398,2308575618,0,1.0,0.0,0.0,0.37847316,0.47614348,2294.0,0.443483,0.0,0.0,-1.0,4.0,15951.432,44962.34,7,14,2,14,42,42,7,14,2,15,43,43,1083,0.8110080059473612,0.1283485211658355
483398,2466234839,0,1.0,0.0,0.0,0.30092978,0.38254493,2975.0,0.3037858,2.2553341,5.132458,10.20913,4.0,39208.93,21528.426,6,2,3,9,46,40,6,2,3,11,48,43,1433,0.9581426539695991,0.15131152189018005
483398,2474162620,0,1.0,0.0,0.0,0.3658753,0.458432,1909.0,0.8704649,0.45502988,1.2916194,2.9919236,3.0,0.0,22829.715,7,0,6,15,42,37,7,0,6,16,46,42,978,0.0,0.0387359033788407
483398,1986250633,0,1.0,0.0,0.0,0.29570818,0.35202774,1979.0,0.4310164,0.12216858,4.6986566,10.180312,5.0,12564.647,29884.766,1,1,1,11,38,35,1,1,1,13,41,37,940,0.9999914806687462,0.1075970657063221
483398,1987042913,0,1.0,0.0,0.0,0.27387905,0.34750864,2790.0,0.6041757,0.0,0.0,-1.0,6.0,30973.053,50963.703,7,2,1,12,49,37,7,2,1,16,53,41,1445,0.31800632899605286,0.5960294962308607
483398,2398430509,0,1.0,0.0,0.0,0.40987474,0.49464062,1901.0,0.1037128,1.9875033,3.6333373,9.747462,4.0,29729.004,34577.633,5,2,0,14,29,36,5,2,0,15,29,36,982,0.999999991199156,0.04771364790822297
483398,381365278,0,1.0,0.0,0.0,0.3470006,0.4279708,2277.0,0.51592016,-0.33658397,1.0226554,0.6290947,5.0,12584.469,38164.67,5,3,5,6,28,43,5,3,5,6,28,43,1191,0.9693987208352873,0.19003590560011618
483398,367001797,0,1.0,0.0,0.0,0.3334851,0.42397,2294.0,0.73095566,1.8150402,2.2894616,3.6965232,3.0,32419.455,29946.355,7,1,5,8,45,44,7,1,5,11,49,48,1072,0.9911088043915068,0.04870527947030345
483398,1094615620,0,1.0,0.0,0.0,0.32892007,0.41551733,2447.0,0.27649653,0.0,0.0,-1.0,4.0,32087.861,30423.781,9,2,6,9,40,43,9,2,6,9,42,44,1233,0.7961452901477079,0.15045885919536772
483398,1248889317,0,1.0,0.0,0.0,0.4168612,0.48287597,2740.0,1.1277194,0.0,0.0,-1.0,3.0,33243.77,40444.312,5,5,1,4,26,41,5,5,1,6,29,42,1390,0.9402766329970775,0.2062205473993205
483398,1648970889,0,1.0,0.0,0.0,0.39872187,0.4561647,2189.0,3.1400158,0.27982244,4.251284,9.248026,3.0,20702.87,25769.611,5,6,6,13,38,32,5,6,6,14,40,33,978,0.0,0.0398044557361491
483398,1655047516,0,1.0,0.0,0.0,0.3638956,0.4412156,2175.0,0.26246333,6.475093,11.899916,28.714588,6.0,21341.084,33251.5,7,6,5,11,35,32,7,6,5,16,35,33,1065,0.9951172020786171,0.32268968121661346
483398,807380800,0,1.0,0.0,0.0,0.3801919,0.48665938,2223.0,1.6998402,-2.0329144,7.2404094,7.2000284,3.0,19149.174,20173.354,11,3,3,14,45,46,11,3,3,16,46,54,1009,0.9998110263068624,0.06552311754007512
483398,1052842768,0,1.0,0.0,0.0,0.43190712,0.51132977,1708.0,0.2923988,-0.60887414,2.0732102,2.4401712,4.0,37450.51,24482.744,4,3,1,17,33,37,4,3,1,17,35,39,911,0.032369129814929454,0.06431939379009233
483398,2044270913,0,1.0,0.0,0.0,0.43283764,0.514616,2074.0,0.040275525,8.542115,14.272328,30.994272,3.0,37524.848,35546.1,13,3,4,16,43,36,14,3,4,20,47,45,1028,0.9892716692536387,0.1428179484181682
483398,2110423229,0,1.0,0.0,0.0,0.41375044,0.48234248,1705.0,2.1187124,1.9115863,4.3317914,10.063016,3.0,26543.014,26302.002,6,3,3,16,23,34,6,3,3,18,25,37,979,0.9991963443427753,0.027777775464188692
483398,2216634922,0,1.0,0.0,0.0,0.3623418,0.44665566,1855.0,0.2949857,-1.6669687,3.9912152,5.1868663,3.0,28183.809,22837.977,4,2,1,14,45,35,4,2,1,16,50,38,938,0.9999554028062945,0.04317014600124369
483398,2218000219,0,1.0,0.0,0.0,0.34155154,0.3996611,1943.0,0.09965563,-0.90675354,1.91799,2.626939,6.0,31242.404,52321.715,9,3,5,20,33,35,9,3,5,21,37,36,980,0.9919600700326159,0.183527539104838
483398,825092192,0,1.0,0.0,0.0,0.36317334,0.44560057,2300.0,0.42928517,-0.9957639,2.4123583,2.0460799,3.0,32175.826,35667.945,4,1,2,8,37,38,4,1,2,9,37,39,1258,0.9618643113306398,0.06588478719105284
483398,739863661,0,1.0,0.0,0.0,0.35392708,0.4275081,2105.0,1.0770054,0.0,0.0,-1.0,3.0,0.0,24031.053,8,4,3,15,43,43,8,4,3,16,43,43,1134,0.8621991146626997,0.06444527006821676
483398,481571427,0,1.0,0.0,0.0,0.35579288,0.45374483,1883.0,0.4869578,0.0,0.0,-1.0,3.0,30901.55,85031.2,2,6,2,15,41,43,3,6,2,16,42,43,1071,0.8711369472353633,0.04495911988496237
483398,513734790,0,1.0,0.0,0.0,0.3839087,0.44390666,2148.0,0.23302862,0.59450936,2.0551336,3.193491,3.0,31597.01,40347.07,5,4,4,15,33,38,5,4,4,17,35,41,1196,0.782295156242667,0.042570232051750256
483398,1633244548,0,1.0,0.0,0.0,0.34428418,0.42597485,2261.0,0.69483924,0.0,0.0,-1.0,5.0,38954.594,33959.902,4,6,4,10,41,44,4,6,4,12,45,46,1112,0.8911570434235778,0.22506486370713596
483398,1888941418,0,1.0,0.0,0.0,0.35999516,0.40958935,1894.0,1.4223042,0.0,0.0,-1.0,3.0,20427.25,29526.02,6,4,3,5,38,34,6,4,3,7,41,34,964,0.8645543213169029,0.04979700016071276
483398,2256194757,0,1.0,0.6779509,0.6779509,0.37360534,0.45716757,2986.0,2.0030885,-0.12182957,1.3274579,1.739871,3.0,38771.25,22570.607,6,1,0,16,60,56,6,1,0,17,60,56,1556,0.9991057996719239,0.2884911464282004
474679,3406908835,0,1.0,0.0,0.0,0.22876398,0.27589822,2609.0,0.067590594,-1.4578487,4.3687305,2.7262566,3.0,38453.984,42933.87,2,2,1,13,39,37,2,2,1,13,39,38,1362,0.9563947913256594,0.08157442410629778
474679,1529066143,0,1.0,0.61245704,0.61245704,0.3520865,0.44334593,2214.0,2.5482652,0.8113248,1.7473402,2.8102586,3.0,0.0,31793.902,3,2,5,27,51,32,4,3,6,30,55,32,1097,0.8895631363598309,0.054975695078984366
480022,978252072,0,1.0,0.0,0.0,0.32179472,0.41881788,2017.0,0.35659677,0.0,0.0,-1.0,3.0,27319.223,46459.72,6,1,2,19,41,36,6,1,2,20,42,37,994,0.769158789469407,0.049526706725333214
480022,931128977,0,1.0,0.0,0.0,0.2876864,0.36935785,2103.0,0.20780373,-1.618336,5.199344,3.3167417,3.0,5512.946,57492.668,5,4,1,16,39,43,5,4,1,19,40,44,1113,0.9999459767197801,0.05039545815386648
480022,974712269,0,1.0,0.0,0.0,0.38745666,0.47637805,2567.0,0.08225393,0.6108892,3.685438,5.356091,3.0,17941.467,24028.031,8,2,4,14,49,40,8,2,4,18,51,41,1360,0.9998997247734428,0.056791544758929
474770,801973971,0,1.0,0.0,0.0,0.24648364,0.32298994,2279.0,1.4748802,0.10896565,3.4784815,3.6899033,3.0,8367.997,21122.996,5,4,1,13,36,33,5,4,1,14,42,39,1107,0.9995693958523798,0.05796858406549721
