runNumber,eventNumber,mcChannelNumber,eventWeight,nMSeg_ratio_EIEM_raw,track_scalar_sum_pt_endcap_raw,MS1Vtx_clusE_raw,MS1Vtx_avg_clusE_raw,MS1Vtx_rms_clusE_raw,MS1Vtx_maxclusE_raw,MS1Vtx_l1ecal_raw,MS1Vtx_l1hcal_raw,MS1Vtx_l2ecal_raw,MS1Vtx_l2hcal_raw,MS1Vtx_l3ecal_raw,MS1Vtx_l3hcal_raw,MS1Vtx_l4ecal_raw,MS1Vtx_l4hcal_raw,MS1Vtx_mindR_jetcut_raw,MS1Vtx_sumTrackPt0p2Cone_raw,htmiss_NOSYS,met_met_NOSYS,msegUnAssoc_nBIL,msegUnAssoc_nBML,msegUnAssoc_nBOL,msegUnAssoc_nEIL,msegUnAssoc_nEML,msegUnAssoc_nEOL,muSeg_nBIL,muSeg_nBML,muSeg_nBOL,muSeg_nEIL,muSeg_nEML,muSeg_nEOL,msvtx_nTGC_s,scoreNN1e,scoreNN2e
486131,2099188545,0,1.0,0.1875,35.894905,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.3442864,0.0,26657.38,39787.906,11,3,1,9,48,43,12,3,1,11,51,46,1169,0.680757422253939,0.202325210635666
486131,3591326652,0,1.0,0.29032257,5.3781056,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.97345114,0.0,14082.364,20260.06,7,8,4,9,31,39,7,8,4,10,34,43,1344,0.8830310571749405,0.49339328802691995
486131,1687510783,0,1.0,0.05263158,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8372593,0.0,37539.195,41393.72,6,1,1,2,38,40,6,1,1,2,39,41,938,0.878683680573429,0.14862729410263276
474462,446596250,0,1.0,0.27659574,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5006983,0.0,35894.676,32806.227,6,2,2,13,47,36,6,2,2,16,47,42,989,0.8940556397093287,0.06407641697719801
474462,451464189,0,1.0,0.10606061,0.0,76.828064,10.975438,15.292129,30.532051,2.406375,10.8271,8.691258,2.8222375,13.595054,0.10501968,5.6985345,0.0,2.1863606,0.0,22055.662,23067.9,7,3,3,7,66,39,7,3,3,9,66,40,1694,0.9989513007026346,0.4546739010371068
474462,1020001800,0,1.0,0.52,0.0,2.5697477,2.5697477,2.5697477,2.5697477,0.27620384,0.0,0.6726189,0.0,0.15073079,0.0,0.0,0.0,99999.0,0.0,0.0,23235.889,3,1,2,13,25,42,3,1,2,14,29,48,1032,0.0,0.03527829004097183
474462,993527648,0,1.0,0.25,0.0,89.97408,6.9210835,9.745208,22.296652,4.722705,5.8646665,11.518511,7.3925676,22.387194,-0.16987573,0.6749923,0.0,2.5533879,0.0,38578.734,73305.18,4,2,1,10,40,42,4,2,1,14,42,45,1062,0.9999967048477236,0.15054883528311502
474462,1243502983,0,1.0,0.41025642,19.101212,14.124991,3.5312479,4.7807994,9.015939,4.06273,0.0,1.9453218,0.2326345,0.59243447,0.0,0.0,0.0,3.0743759,2.9480867,30912.75,34103.023,5,5,5,16,39,37,5,5,5,18,44,41,1212,0.08053778149694579,0.16415437697801627
474462,261790219,0,1.0,0.35135135,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.345944,0.0,33090.9,42552.656,5,4,2,13,37,34,7,4,2,14,39,38,1016,0.8496649761822181,0.08985045249702328
474462,574008898,0,1.0,0.2037037,7.9134293,7.82137,3.9106853,3.990119,4.7028913,1.1942704,0.0,0.9317303,0.0,1.2518202,0.0,0.0,0.0,1.8370812,0.0,26497.498,25023.32,6,2,6,11,54,35,6,2,6,11,54,36,1462,0.9033365902935135,0.09533927936594155
