runNumber,eventNumber,mcChannelNumber,eventWeight,nMSeg_ratio_BIBM_raw,track_scalar_sum_pt_barrel_raw,MS1Vtx_clusE_raw,MS1Vtx_avg_clusE_raw,MS1Vtx_rms_clusE_raw,MS1Vtx_maxclusE_raw,MS1Vtx_l1ecal_raw,MS1Vtx_l1hcal_raw,MS1Vtx_l2ecal_raw,MS1Vtx_l2hcal_raw,MS1Vtx_l3ecal_raw,MS1Vtx_l3hcal_raw,MS1Vtx_l4ecal_raw,MS1Vtx_l4hcal_raw,MS1Vtx_mindR_jetcut_raw,MS1Vtx_sumTrackPt0p2Cone_raw,htmiss_NOSYS,met_met_NOSYS,msegUnAssoc_nBIL,msegUnAssoc_nBML,msegUnAssoc_nBOL,msegUnAssoc_nEIL,msegUnAssoc_nEML,msegUnAssoc_nEOL,muSeg_nBIL,muSeg_nBML,muSeg_nBOL,muSeg_nEIL,muSeg_nEML,muSeg_nEOL,msvtx_nRPC_s,scoreNN1b,scoreNN2b,MSTracklet_barrel_avg_dR_raw,MSTracklet_barrel_rms_dR_raw,MSeg_barrel_avg_dR_raw,MSeg_barrel_rms_dR_raw,MS1Vtx_barrel_hits_ntot_raw,MSVtx_MET_dphi_raw,MS1Vtx_avg_clustime_raw,MS1Vtx_rms_clustime_raw,MS1Vtx_maxclustime_raw,MS1Vtx_nTracklet_raw,region,nMSeg_ratio_EIEM_raw,track_scalar_sum_pt_endcap_raw,msvtx_nTGC_s,scoreNN1e,scoreNN2e,MSTracklet_endcap_avg_dR_raw,MSTracklet_endcap_rms_dR_raw,MSeg_endcap_avg_dR_raw,MSeg_endcap_rms_dR_raw,MS1Vtx_endcap_hits_ntot_raw
410000,91927,537836,0.0,,,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3857255,0.0,40917.516,93467.87,0,0,2,7,20,50,0,0,2,7,21,60,,,,,,,,,0.35373545,0.0,0.0,-1.0,5.0,endcap,0.35,0.0,2531.0,0.8601575659243281,0.9743649305043984,0.0,0.0,0.5938101,0.6368134,5051.0
410000,92097,537836,1.8549286e-10,,,33.48562,6.697123,7.675569,11.935186,0.0,0.0,8.190765,0.0,10.8780155,0.0,0.008000742,0.0,2.9861302,1.0518144,90379.22,116662.96,1,0,1,1,41,40,1,0,1,3,42,41,,,,,,,,,0.094166815,0.05653702,0.5874362,0.78619933,7.0,endcap,0.024390243,39.74546,2466.0,0.9641880851894984,0.986495162049689,0.0,0.0,0.38522223,0.44068533,4875.0
410000,145270,537836,1.9513602e-10,,,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0040212,0.0,48503.637,63635.617,2,0,1,4,32,32,2,0,1,5,34,34,,,,,,,,,0.90063167,0.0,0.0,-1.0,9.0,endcap,0.125,0.0,1511.0,0.9499995670024756,0.876853992761701,0.0,0.0,0.42040655,0.4550996,2977.0
410000,24134,537836,1.2500537e-10,,,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.250508,0.0,46920.164,41136.176,2,0,1,9,15,37,2,0,1,10,15,38,,,,,,,,,0.23333865,0.0,0.0,-1.0,8.0,endcap,0.6,13.808133,2580.0,0.5105795475787385,0.9864571914457608,0.0,0.0,0.5614714,0.5966709,4524.0
410000,94723,537836,4.5731577e-10,,,1.207994,1.207994,1.207994,1.207994,1.1980679,0.0,0.088436045,0.0,-0.07850985,0.0,0.0,0.0,1.1640563,0.0,152957.36,141545.92,2,3,1,4,20,33,2,3,1,4,20,33,,,,,,,,,0.6042951,-28.043,28.043,-28.043,3.0,endcap,0.2,151.75394,2150.0,0.9561391621054092,0.9718057739125192,1.0011259,1.001126,0.5297539,0.6007846,3922.0
410000,75403,537836,1.1862211e-10,,,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7866142,0.0,137189.8,139203.22,0,0,1,4,12,33,0,0,1,4,12,33,,,,,,,,,1.140672,0.0,0.0,-1.0,8.0,endcap,0.33333334,0.0,1266.0,0.8456570153843734,0.795241089716445,0.0,0.0,0.536208,0.5698915,2666.0
410000,79371,537836,1.1543275e-10,,,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5778085,0.0,47365.43,30638.922,0,3,3,3,39,32,0,3,3,4,39,34,,,,,,,,,1.5840397,0.0,0.0,-1.0,6.0,endcap,0.07692308,0.0,1434.0,0.9579681803313488,0.6205138135020702,1.0420318,1.0466744,0.39461094,0.48170927,2512.0
410000,68462,537836,4.112245e-12,,,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.106438,0.0,103691.99,104573.55,3,2,1,7,28,36,3,2,1,7,28,36,,,,,,,,,0.034198523,0.0,0.0,-1.0,5.0,endcap,0.25,93.9474,1976.0,0.9484457945009044,0.8991766052039905,0.0,0.0,0.43277803,0.48492193,3988.0
410000,16590,537836,1.1032588e-10,,,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0299096,0.0,138316.28,146677.1,1,1,2,8,26,34,1,1,2,9,28,38,,,,,,,,,0.019931078,0.0,0.0,-1.0,10.0,endcap,0.30769232,0.0,1773.0,0.8359249863480789,0.9588262510249153,0.6660144,0.73338884,0.4516647,0.5080378,3215.0
410000,36678,537836,0.0,,,98.132416,8.921128,10.796044,25.826672,0.44497567,0.21210858,10.9190645,19.482103,20.1831,-0.21200341,2.2550416,0.0,1.6846699,0.0,50195.168,53789.51,2,0,0,11,28,33,2,0,0,11,31,37,,,,,,,,,1.2907084,-0.44098538,1.5158197,1.3052133,4.0,endcap,0.39285713,0.0,1508.0,0.9999946295124396,0.6070599116350612,0.0,0.0,0.42747965,0.46116722,3405.0
